,Unnamed: 0,County,County Code,Year,Year Code,Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Mean Household Income,Percent of Individuals Below Poverty Level,Unemployment Rate,Labor Force Participation Rate,ED Visit Rate
0,0,"Adams County, PA",42001,1999,1999,Suppressed,90363,Suppressed,Suppressed,Suppressed,,,,,
1,1,"Adams County, PA",42001,2000,2000,Suppressed,91292,Suppressed,Suppressed,Suppressed,,,,,
2,2,"Adams County, PA",42001,2001,2001,Suppressed,92591,Suppressed,Suppressed,Suppressed,,,,,
3,3,"Adams County, PA",42001,2002,2002,Suppressed,93934,Suppressed,Suppressed,Suppressed,,,,,
4,4,"Adams County, PA",42001,2003,2003,Suppressed,95503,Suppressed,Suppressed,Suppressed,,,,,
5,5,"Adams County, PA",42001,2004,2004,Suppressed,97300,Suppressed,Suppressed,Suppressed,,,,,
6,6,"Adams County, PA",42001,2005,2005,Suppressed,98606,Suppressed,Suppressed,Suppressed,,,,,
7,7,"Adams County, PA",42001,2006,2006,Suppressed,99899,Suppressed,Suppressed,Suppressed,,,,,
8,8,"Adams County, PA",42001,2007,2007,Suppressed,100502,Suppressed,Suppressed,Suppressed,,,,,
9,9,"Adams County, PA",42001,2008,2008,Suppressed,101056,Suppressed,Suppressed,Suppressed,,,,,
10,10,"Adams County, PA",42001,2009,2009,Suppressed,101252,Suppressed,Suppressed,Suppressed,,,,,
11,11,"Adams County, PA",42001,2010,2010,Suppressed,101407,Suppressed,Suppressed,Suppressed,66172.0,10.2,4.8,67.6,
12,12,"Adams County, PA",42001,2011,2011,Suppressed,101434,Suppressed,Suppressed,Suppressed,66543.0,8.1,6.5,65.0,
13,13,"Adams County, PA",42001,2012,2012,Suppressed,101482,Suppressed,Suppressed,Suppressed,69324.0,9.7,5.8,66.0,
14,14,"Adams County, PA",42001,2013,2013,Suppressed,101546,Suppressed,Suppressed,Suppressed,73000.0,8.9,7.3,65.5,
15,15,"Adams County, PA",42001,2014,2014,Suppressed,101714,Suppressed,Suppressed,Suppressed,75196.0,11.4,5.3,62.3,
16,16,"Adams County, PA",42001,2015,2015,Suppressed,102295,Suppressed,Suppressed,Suppressed,72473.0,7.9,3.6,63.3,
17,17,"Adams County, PA",42001,2016,2016,15,102180,Unreliable,8.2,24.2,72296.0,9.6,6.1,62.8,13.53
18,18,"Adams County, PA",42001,2017,2017,Suppressed,102336,Suppressed,Suppressed,Suppressed,76008.0,7.6,3.9,63.2,6.54
19,19,"Adams County, PA",42001,2018,2018,11,102811,Unreliable,5.3,19.1,76958.0,7.3,4.4,62.2,11.406666666666666
20,20,"Allegheny County, PA",42003,1999,1999,94,1287247,7.3,5.9,8.9,,,,,
21,21,"Allegheny County, PA",42003,2000,2000,98,1281666,7.6,6.2,9.3,,,,,
22,22,"Allegheny County, PA",42003,2001,2001,89,1272416,7,5.6,8.6,,,,,
23,23,"Allegheny County, PA",42003,2002,2002,116,1265577,9.2,7.5,10.8,,,,,
24,24,"Allegheny County, PA",42003,2003,2003,159,1258420,12.6,10.7,14.6,,,,,
