Geographic Area,Geographic Name,Gender,Age,Year,Time Period,Time Period Dates,Opioid Court Cases,Opioid Court Cases Description,Total Cases,Total Cases Description,Rate of Opioid Court Cases,Percentage of Opioid Court Cases,Percentage of Opioid Court Cases Description,Type of Rate,County_Code_Number,County_Code_Text,State_FIPS_Code,County_FIPS_Code,Latitude,Longitude,Georeferenced Latitude & Longitude
County,York,All,All (18+ years),2017,2017 Q1,1/1/2017-3/31/2017,47,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,67,67,42,133,39.9219253124,-76.7257605231,POINT (-76.7257605231 39.9219253124)
County,Adams,All,All (18+ years),2018,2018 Q3,7/1/2018-9/30/2018,1,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,1,01,42,001,39.8720956503,-77.2222427076,POINT (-77.2222427076 39.8720956503)
County,Lawrence,All,All (18+ years),2016,2016 Annual,1/1/2016-12/31/2016,18,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,973,Total number of annual court cases,18.5,,Percent of total opioid court cases not available,"Rate of opioid court cases per 1,000 total court cases",37,37,42,073,40.9932503514,-80.3375411446,POINT (-80.3375411446 40.9932503514)
County,Clinton,All,All (18+ years),2018,2018 Q1,1/1/2018-3/31/2018,1,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,18,18,42,035,41.2328627374,-77.6428376046,POINT (-77.6428376046 41.2328627374)
County,Montgomery,All,All (18+ years),2017,2017 Q1,1/1/2017-3/31/2017,12,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,46,46,42,091,40.209898739,-75.3725200072,POINT (-75.3725200072 40.209898739)
State,Commonwealth,Female,All (18+ years),2018,2018 Q3,7/1/2018-9/30/2018,87,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,613,Total opioid court cases where gender is known,,14.2,Percent of total opioid cases for the time period,Rates by gender are not available,0,00,42,000,39.346129,-75.167756,POINT (-75.167756 39.346129)
County,Mercer,All,All (18+ years),2017,2017 Annual,1/1/2017-12/31/2017,13,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,2064,Total number of annual court cases,6.3,,Percent of total opioid court cases not available,"Rate of opioid court cases per 1,000 total court cases",43,43,42,085,41.302377765,-80.2600941079,POINT (-80.26009410790002 41.302377765)
County,Clinton,All,All (18+ years),2017,2017 Q4,10/1/2017-12/31/2017,1,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,18,18,42,035,41.2328627374,-77.6428376046,POINT (-77.6428376046 41.2328627374)
County,Armstrong,All,All (18+ years),2017,2017 Annual,1/1/2017-12/31/2017,6,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,850,Total number of annual court cases,7.06,,Percent of total opioid court cases not available,"Rate of opioid court cases per 1,000 total court cases",3,03,42,005,40.8150952555,-79.4731689893,POINT (-79.4731689893 40.8150952555)
County,Armstrong,All,All (18+ years),2016,2016 Q3,7/1/2016-9/30/2016,14,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,3,03,42,005,40.8150952555,-79.4731689893,POINT (-79.4731689893 40.8150952555)
State,Commonwealth,Female,All (18+ years),2016,2016 Q2,4/1/2016-6/30/2016,174,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,1035,Total opioid court cases where gender is known,,16.8,Percent of total opioid cases for the time period,Rates by gender are not available,0,00,42,000,39.346129,-75.167756,POINT (-75.167756 39.346129)
County,Allegheny,All,All (18+ years),2018,2018 Q2,4/1/2018-6/30/2018,46,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,2,02,42,003,40.4673554298,-79.9861984282,POINT (-79.9861984282 40.4673554298)
County,Crawford,All,All (18+ years),2018,2018 Q3,7/1/2018-9/30/2018,2,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,20,20,42,039,41.6854690692,-80.1132108295,POINT (-80.1132108295 41.6854690692)
State,Commonwealth,All,45 to 49 years,2018,2018 Q3,7/1/2018-9/30/2018,39,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,615,Total opioid court cases where age is known,,6.3,Percent of total opioid cases for the time period,Rates by age are not available,0,00,42,000,39.346129,-75.167756,POINT (-75.167756 39.346129)
