Age Group,Gender,County Name,Rate,Type of Rate,Overdose Type,Time Measure,Year,Time Period,Quarter Date Start,Notes,County Code Number,County Code Text,State FIPS Code,County FIPS Code,Latitude/Longitude
All Ages,All Genders,LEBANON,0.92,"Rate of Emergency Department Visits Related to Overdose per 1,000 Population",Any Drug Overdose,Quarterly Rates,2017,2017 Q3,07/01/2017,,38,38,42,075,"(40.3675970024, -76.4618257486)"
15-24,All Genders,PENNSYLVANIA,0.18,Percent of Emergency Department Visits Related to Overdose,Heroin Overdose,Quarterly Rates,2017,2017 Q2,04/01/2017,,0,00,42,000,"(39.346129, -75.167756)"
All Ages,All Genders,CLARION,0,Percent of Emergency Department Visits Related to Overdose,Any Opioid Overdose,Quarterly Rates,2017,2017 Q3,07/01/2017,,16,16,42,031,"(41.1927912877, -79.4248360769)"
All Ages,All Genders,DAUPHIN,0.11,"Rate of Emergency Department Visits Related to Overdose per 1,000 Population",Heroin Overdose,Quarterly Rates,2016,2016 Q4,10/01/2016,,22,22,42,043,"(40.4197463597, -76.7796056802)"
All Ages,All Genders,ALLEGHENY,0.29,"Rate of Emergency Department Visits Related to Overdose per 1,000 Population",Heroin Overdose,Quarterly Rates,2017,2017 Q2,04/01/2017,,2,02,42,003,"(40.4673554298, -79.9861984282)"
All Ages,Male,PENNSYLVANIA,0.3,Percent of Emergency Department Visits Related to Overdose,Any Opioid Overdose,Quarterly Rates,2017,2017 Q3,07/01/2017,,0,00,42,000,"(39.346129, -75.167756)"
All Ages,All Genders,YORK,0.1,Percent of Emergency Department Visits Related to Overdose,Heroin Overdose,Quarterly Rates,2017,2017 Q3,07/01/2017,Less than 100% of Emergency Departments in the County are Under Surveillance.  ,67,67,42,133,"(39.9219253124, -76.7257605231)"
All Ages,All Genders,INDIANA,0.66,Percent of Emergency Department Visits Related to Overdose,Any Drug Overdose,Quarterly Rates,2017,2017 Q3,07/01/2017,,32,32,42,063,"(40.6529549748, -79.0933349286)"
All Ages,All Genders,LUZERNE,0.33,"Rate of Emergency Department Visits Related to Overdose per 1,000 Population",Heroin Overdose,Quarterly Rates,2017,2017 Q2,04/01/2017,,40,40,42,079,"(41.1783643884, -75.991996098)"
All Ages,All Genders,ERIE,0.21,"Rate of Emergency Department Visits Related to Overdose per 1,000 Population",Heroin Overdose,Quarterly Rates,2017,2017 Q2,04/01/2017,Less than 100% of Emergency Departments in the County are Under Surveillance.  ,25,25,42,049,"(41.9941378702, -80.0407591036)"
All Ages,All Genders,WARREN,,Suppressed/Not Displayed due to count between 1 and 474,Any Opioid Overdose,Quarterly Rates,2017,2017 Q1,01/01/2017,Not displayed when count is between 1 and 4.,62,62,42,123,"(41.8167523652, -79.278581578)"
All Ages,All Genders,SUSQUEHANNA,0.51,"Rate of Emergency Department Visits Related to Overdose per 1,000 Population",Any Drug Overdose,Quarterly Rates,2016,2016 Q4,10/01/2016,,58,58,42,115,"(41.8205685982, -75.8025030296)"
All Ages,All Genders,LANCASTER,0.19,"Rate of Emergency Department Visits Related to Overdose per 1,000 Population",Any Opioid Overdose,Quarterly Rates,2017,2017 Q3,07/01/2017,Less than 100% of Emergency Departments in the County are Under Surveillance.  ,36,36,42,071,"(40.0459079619, -76.2513876838)"
All Ages,All Genders,POTTER,0,Percent of Emergency Department Visits Related to Overdose,Any Drug Overdose,Quarterly Rates,2018,2018 Q1,01/01/2018,Less than 100% of Emergency Departments in the County are Under Surveillance.  ,53,53,42,105,"(41.7442064382, -77.8987922939)"
All Ages,All Genders,CRAWFORD,,Suppressed/Not Displayed due to count between 1 and 155,Heroin Overdose,Quarterly Rates,2016,2016 Q4,10/01/2016,Not displayed when count is between 1 and 4.,20,20,42,039,"(41.6854690692, -80.1132108295)"
All Ages,All Genders,MONROE,0.06,"Rate of Emergency Department Visits Related to Overdose per 1,000 Population",Any Opioid Overdose,Quarterly Rates,2017,2017 Q4,10/01/2017,Less than 100% of Emergency Departments in the County are Under Surveillance.  ,45,45,42,089,"(41.0609178653, -75.3408360302)"
All Ages,All Genders,INDIANA,0.75,"Rate of Emergency Department Visits Related to Overdose per 1,000 Population",Any Drug Overdose,Quarterly Rates,2017,2017 Q4,10/01/2017,,32,32,42,063,"(40.6529549748, -79.0933349286)"
All Ages,All Genders,LYCOMING,,Suppressed/Not Displayed due to count between 1 and 293,Any Opioid Overdose,Quarterly Rates,2018,2018 Q1,01/01/2018,Not displayed when count is between 1 and 4.,41,41,42,081,"(41.3445979226, -77.069424568)"
55-64,All Genders,PENNSYLVANIA,0.1,Percent of Emergency Department Visits Related to Overdose,Any Opioid Overdose,Quarterly Rates,2016,2016 Q4,10/01/2016,,0,00,42,000,"(39.346129, -75.167756)"
