County Name,Quarterly Rate,Overdose Type,Type of Rate,Time Measure,Time Period,Year,Quarter Date Start,Notes,County Code Number,County Code Text,State FIPS Code,County FIPS Code,Latitude,Longitude,Georeferenced Latitude & Longitude
Pennsylvania,11.67,Heroin Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2020 Q1,2020,01/01/2020,"Due to decreased ED visits during the coronavirus pandemic, Rates per 10,000 Visits have become difficult to interpret. Please refer to corresponding Rates per 10,000 Population data for monitoring trends.",0,0,42,0,39.346129,-75.167756,POINT (-75.167756 39.346129)
Clearfield,,Heroin Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2020 Q1,2020,01/01/2020,"Not displayed when count is between 1 and 4. Due to decreased ED visits during the coronavirus pandemic, Rates per 10,000 Visits have become difficult to interpret. Please refer to corresponding Rates per 10,000 Population data for monitoring trends.",17,17,42,33,41.000429,-78.47558343,POINT (-78.47558343 41.000429)
Schuylkill,70.91,Any Drug Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2020 Q1,2020,01/01/2020,"Less than 100% of Emergency Departments in the County are Under Surveillance.     Due to decreased ED visits during the coronavirus pandemic, Rates per 10,000 Visits have become difficult to interpret. Please refer to corresponding Rates per 10,000 Population data for monitoring trends.",54,54,42,107,40.70751243,-76.22332385,POINT (-76.22332385 40.70751243)
Cambria,99.29,Any Drug Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2020 Q1,2020,01/01/2020,"Due to decreased ED visits during the coronavirus pandemic, Rates per 10,000 Visits have become difficult to interpret. Please refer to corresponding Rates per 10,000 Population data for monitoring trends.",11,11,42,21,40.49127491,-78.71894174,POINT (-78.71894174 40.49127491)
Sullivan,,Any Opioid Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2020 Q1,2020,01/01/2020,"No Emergency Department Identified in County.    Due to decreased ED visits during the coronavirus pandemic, Rates per 10,000 Visits have become difficult to interpret. Please refer to corresponding Rates per 10,000 Population data for monitoring trends.",57,57,42,113,41.4480994,-76.5147922,POINT (-76.5147922 41.4480994)
Elk,58.79,Any Drug Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2020 Q1,2020,01/01/2020,"Due to decreased ED visits during the coronavirus pandemic, Rates per 10,000 Visits have become difficult to interpret. Please refer to corresponding Rates per 10,000 Population data for monitoring trends.",24,24,42,47,41.42819416,-78.64947713,POINT (-78.64947713 41.42819416)
Cumberland,70.53,Any Drug Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2020 Q1,2020,01/01/2020,"Due to decreased ED visits during the coronavirus pandemic, Rates per 10,000 Visits have become difficult to interpret. Please refer to corresponding Rates per 10,000 Population data for monitoring trends.",21,21,42,41,40.16759839,-77.26866271,POINT (-77.26866271 40.16759839)
Franklin,13.33,Any Opioid Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2020 Q1,2020,01/01/2020,"Due to decreased ED visits during the coronavirus pandemic, Rates per 10,000 Visits have become difficult to interpret. Please refer to corresponding Rates per 10,000 Population data for monitoring trends.",28,28,42,55,39.92786197,-77.72398845,POINT (-77.72398845 39.92786197)
York,116.23,Any Drug Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2020 Q1,2020,01/01/2020,"Due to decreased ED visits during the coronavirus pandemic, Rates per 10,000 Visits have become difficult to interpret. Please refer to corresponding Rates per 10,000 Population data for monitoring trends.",67,67,42,133,39.92192531,-76.72576052,POINT (-76.72576052 39.92192531)
Bucks,13.53,Any Opioid Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2020 Q1,2020,01/01/2020,"Due to decreased ED visits during the coronavirus pandemic, Rates per 10,000 Visits have become difficult to interpret. Please refer to corresponding Rates per 10,000 Population data for monitoring trends.",9,9,42,17,40.33501133,-75.11291241,POINT (-75.11291241 40.33501133)
