GEO_ID,NAME,S1902_C01_001E,S1902_C01_001M,S1902_C01_002E,S1902_C01_002M,S1902_C01_003E,S1902_C01_003M,S1902_C01_004E,S1902_C01_004M,S1902_C01_005E,S1902_C01_005M,S1902_C01_006E,S1902_C01_006M,S1902_C01_007E,S1902_C01_007M,S1902_C01_008E,S1902_C01_008M,S1902_C01_009E,S1902_C01_009M,S1902_C01_010E,S1902_C01_010M,S1902_C01_011E,S1902_C01_011M,S1902_C01_012E,S1902_C01_012M,S1902_C01_013E,S1902_C01_013M,S1902_C01_014E,S1902_C01_014M,S1902_C01_015E,S1902_C01_015M,S1902_C01_016E,S1902_C01_016M,S1902_C01_017E,S1902_C01_017M,S1902_C01_018E,S1902_C01_018M,S1902_C01_019E,S1902_C01_019M,S1902_C01_020E,S1902_C01_020M,S1902_C01_021E,S1902_C01_021M,S1902_C01_022E,S1902_C01_022M,S1902_C01_023E,S1902_C01_023M,S1902_C01_024E,S1902_C01_024M,S1902_C01_025E,S1902_C01_025M,S1902_C01_026E,S1902_C01_026M,S1902_C01_027E,S1902_C01_027M,S1902_C02_001E,S1902_C02_001M,S1902_C02_002E,S1902_C02_002M,S1902_C02_003E,S1902_C02_003M,S1902_C02_004E,S1902_C02_004M,S1902_C02_005E,S1902_C02_005M,S1902_C02_006E,S1902_C02_006M,S1902_C02_007E,S1902_C02_007M,S1902_C02_008E,S1902_C02_008M,S1902_C02_009E,S1902_C02_009M,S1902_C02_010E,S1902_C02_010M,S1902_C02_011E,S1902_C02_011M,S1902_C02_012E,S1902_C02_012M,S1902_C02_013E,S1902_C02_013M,S1902_C02_014E,S1902_C02_014M,S1902_C02_015E,S1902_C02_015M,S1902_C02_016E,S1902_C02_016M,S1902_C02_017E,S1902_C02_017M,S1902_C02_018E,S1902_C02_018M,S1902_C02_019E,S1902_C02_019M,S1902_C02_020E,S1902_C02_020M,S1902_C02_021E,S1902_C02_021M,S1902_C02_022E,S1902_C02_022M,S1902_C02_023E,S1902_C02_023M,S1902_C02_024E,S1902_C02_024M,S1902_C02_025E,S1902_C02_025M,S1902_C02_026E,S1902_C02_026M,S1902_C02_027E,S1902_C02_027M
id,Geographic Area Name,Total!!Estimate!!All households,Total!!Margin of Error!!All households,Total!!Estimate!!With earnings,Total!!Margin of Error!!With earnings,"Total!!Estimate!!With interest, dividends, or net rental income","Total!!Margin of Error!!With interest, dividends, or net rental income",Total!!Estimate!!With Social Security income,Total!!Margin of Error!!With Social Security income,Total!!Estimate!!With Supplemental Security Income (SSI),Total!!Margin of Error!!With Supplemental Security Income (SSI),Total!!Estimate!!With cash public assistance income,Total!!Margin of Error!!With cash public assistance income,Total!!Estimate!!With retirement income,Total!!Margin of Error!!With retirement income,Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families,Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families,Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!No workers,Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!No workers,Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!1 worker,Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!1 worker,"Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!2 workers, husband and wife worked","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!2 workers, husband and wife worked","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!2 workers, other","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!2 workers, other","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!3 or more workers, husband and wife worked","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!3 or more workers, husband and wife worked","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!3 or more workers, other","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!3 or more workers, other",Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population,Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population,Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!White,Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!White,Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Black or African American,Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Black or African American,Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!American Indian and Alaska Native,Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!American Indian and Alaska Native,Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Asian,Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Asian,Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Native Hawaiian and Other Pacific Islander,Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Native Hawaiian and Other Pacific Islander,Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Some other race,Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Some other race,Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Total!!Estimate!!Hispanic or Latino origin (of any race),Total!!Margin of Error!!Hispanic or Latino origin (of any race),"Total!!Estimate!!White alone, not Hispanic or Latino","Total!!Margin of Error!!White alone, not Hispanic or Latino",Total!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months,Total!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months,Total!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months,Total!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months,Total!!Estimate!!PERCENT IMPUTED!!Individual income in the past 12 months,Total!!Margin of Error!!PERCENT IMPUTED!!Individual income in the past 12 months,Mean income (dollars)!!Estimate!!All households,Mean income (dollars)!!Margin of Error!!All households,Mean income (dollars)!!Estimate!!With earnings,Mean income (dollars)!!Margin of Error!!With earnings,"Mean income (dollars)!!Estimate!!With interest, dividends, or net rental income","Mean income (dollars)!!Margin of Error!!With interest, dividends, or net rental income",Mean income (dollars)!!Estimate!!With Social Security income,Mean income (dollars)!!Margin of Error!!With Social Security income,Mean income (dollars)!!Estimate!!With Supplemental Security Income (SSI),Mean income (dollars)!!Margin of Error!!With Supplemental Security Income (SSI),Mean income (dollars)!!Estimate!!With cash public assistance income,Mean income (dollars)!!Margin of Error!!With cash public assistance income,Mean income (dollars)!!Estimate!!With retirement income,Mean income (dollars)!!Margin of Error!!With retirement income,Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families,Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families,Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!No workers,Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!No workers,Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!1 worker,Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!1 worker,"Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!2 workers, husband and wife worked","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!2 workers, husband and wife worked","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!2 workers, other","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!2 workers, other","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!3 or more workers, husband and wife worked","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!3 or more workers, husband and wife worked","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!3 or more workers, other","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!3 or more workers, other",Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population,Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population,Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!White,Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!White,Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Black or African American,Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Black or African American,Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!American Indian and Alaska Native,Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!American Indian and Alaska Native,Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Asian,Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Asian,Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Native Hawaiian and Other Pacific Islander,Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Native Hawaiian and Other Pacific Islander,Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Some other race,Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Some other race,Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Mean income (dollars)!!Estimate!!Hispanic or Latino origin (of any race),Mean income (dollars)!!Margin of Error!!Hispanic or Latino origin (of any race),"Mean income (dollars)!!Estimate!!White alone, not Hispanic or Latino","Mean income (dollars)!!Margin of Error!!White alone, not Hispanic or Latino",Mean income (dollars)!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months,Mean income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months,Mean income (dollars)!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months,Mean income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months,Mean income (dollars)!!Estimate!!PERCENT IMPUTED!!Individual income in the past 12 months,Mean income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Individual income in the past 12 months
0500000US42001,"Adams County, Pennsylvania",37831,1283,78.7,2.9,29.7,3.6,33.6,2.7,3.3,1,1.7,1,24.8,3,26985,1651,13.2,2.7,28.1,4.3,38.4,3.9,7.4,2.6,11,2.6,1.8,1.3,101485,*****,93.8,1.2,2,0.8,0,0.1,0.3,0.3,0,0.1,2.5,1.3,1.3,0.7,6,*****,90.5,0.1,24.4,(X),24.2,(X),17.5,(X),66172,3160,63477,3639,8918,2840,17375,1041,10528,1843,3583,1773,24900,4015,74519,4037,51052,10302,53395,6769,90797,7040,53056,8889,108441,9084,109504,41502,25413,1258,25610,1145,45231,17685,N,N,N,N,N,N,9237,5272,10450,4801,10578,2456,26172,1165,(X),(X),(X),(X),(X),(X)
0500000US42003,"Allegheny County, Pennsylvania",519191,6132,75.4,0.7,26.1,0.8,32,0.6,5.4,0.5,3.7,0.4,19.4,0.7,299301,6260,15.7,1,31.5,1.3,32.5,1,9.7,0.7,8.5,0.8,2.1,0.4,1223583,*****,81.6,0.1,12.9,0.3,0.1,0.1,2.7,0.1,0,0.1,0.3,0.1,2.3,0.3,1.6,*****,80.6,0.1,25.2,(X),26.5,(X),20.7,(X),67707,1446,70762,1721,13153,2318,16828,317,8472,372,2763,468,17550,734,86799,2292,45394,4750,70807,3768,113048,4285,72970,5171,128955,11284,123833,45502,29469,641,31868,741,16956,1629,22870,15663,34377,5522,20178,9516,16720,4489,10705,2048,21556,4949,31921,722,(X),(X),(X),(X),(X),(X)
0500000US42005,"Armstrong County, Pennsylvania",28298,1584,73.1,4.6,25.4,3.3,34.7,5.6,6.7,1.7,4,1.6,23.2,4.3,18731,1295,13.6,3.6,32.8,4.4,34.8,4.1,6.2,2,11.1,2.2,1.4,0.9,68839,*****,97.8,0.1,1,0.5,0.1,0.1,0.2,0.1,0,0.2,0,0.1,0.9,0.5,N,N,N,N,24.8,(X),26.2,(X),21.6,(X),52165,2773,54704,3104,5107,1985,15782,1121,8817,1090,1809,805,14655,2775,60889,3564,36290,6008,44314,7083,75323,4371,60248,10752,95562,9219,58384,12155,21949,1127,22066,1156,26274,20019,N,N,8095,5314,N,N,N,N,9036,6293,N,N,N,N,(X),(X),(X),(X),(X),(X)
0500000US42007,"Beaver County, Pennsylvania",69790,1642,71.2,2.1,22.2,1.8,37.8,1.8,6.5,1.1,4.9,1.1,24.3,1.7,45609,1941,19.3,2.1,28,3,34,3.1,8,1.7,8.2,1.4,2.4,1,170567,*****,91,0.3,5.8,0.6,0,0.1,0.5,0.1,0.1,0.1,0.3,0.3,2.3,0.6,1.2,*****,90.4,0.1,26.8,(X),28.6,(X),22.4,(X),55532,2307,59950,2848,6397,2995,16191,652,9105,852,1976,522,12618,1139,66400,3521,32344,5482,44902,4476,92176,5376,64667,12637,102006,9031,108676,23446,23657,899,24671,992,15861,3807,N,N,19671,15588,N,N,N,N,6132,2034,15383,5237,24723,1003,(X),(X),(X),(X),(X),(X)
0500000US42011,"Berks County, Pennsylvania",155329,2079,76,1.3,24.6,1.4,30.5,1.4,5.7,1,4.7,0.9,18.5,1.1,106886,2834,17.3,1.5,26.6,1.8,34.5,2,8.1,1.1,10.6,1.3,3,0.8,411850,*****,84.3,1,4.6,0.4,0.2,0.1,1.3,0.2,0,0.1,7.6,1,2,0.6,16.4,*****,76.6,0.3,25.8,(X),26.3,(X),19.2,(X),65824,2986,68371,3546,10968,2992,17424,579,9684,682,3368,811,17895,2144,76999,4144,36055,5159,60121,9637,100388,8904,70238,6324,115538,6910,74485,9987,25384,1120,27636,1278,15022,2171,6731,2336,36350,21190,N,N,9510,1345,10012,2542,9946,872,29339,1443,(X),(X),(X),(X),(X),(X)
0500000US42013,"Blair County, Pennsylvania",52111,1313,72.4,2.1,20.2,2.1,35.7,2,7.6,1.9,3.1,0.9,22.7,2,33834,1644,16.5,2.4,32,3.3,31.2,3.3,9.7,3.1,9.6,2.2,1,0.7,127031,*****,96.2,0.2,1.6,0.6,0.1,0.1,0.7,0.1,0,0.1,0.4,0.2,1,0.6,1,*****,95.6,0.1,32.9,(X),32.5,(X),25.5,(X),55750,3933,57119,4273,13555,10899,16755,647,9050,828,2428,1245,14694,1741,66879,5613,43910,18022,50810,4263,83634,10897,67459,10843,106785,20954,48645,22946,23083,1497,23572,1523,5636,2934,N,N,15666,8021,N,N,N,N,N,N,21890,18177,23514,1483,(X),(X),(X),(X),(X),(X)
0500000US42017,"Bucks County, Pennsylvania",227393,3142,82.8,1,31.6,1.4,29.1,0.9,2.6,0.5,1.6,0.4,18.1,1,161805,3235,9.9,1,29.6,1.8,37.3,1.6,8.4,1.1,12.3,1,2.5,0.6,625472,*****,90,0.3,3.6,0.4,0.2,0.1,4,0.2,0,0.1,0.9,0.3,1.3,0.3,4.3,*****,86.8,0.1,21.5,(X),22.4,(X),16.2,(X),91799,3095,91682,2942,13867,3286,18632,458,11307,1129,5461,1347,21394,1476,107231,3728,44888,4301,94252,9928,125774,4328,98958,11374,140368,5795,96739,12204,34534,1122,35734,1114,17205,3366,19671,7656,34072,6686,N,N,13399,3644,18060,5282,26258,6797,35936,1092,(X),(X),(X),(X),(X),(X)
0500000US42019,"Butler County, Pennsylvania",72566,2327,77.7,1.7,28,2.5,32.2,1.3,4,1,2.7,0.9,21.3,1.8,51020,2029,14.3,2,29.1,2.7,38.6,2.9,5.7,1.4,10.7,1.9,1.5,0.7,184059,*****,96.6,0.3,0.9,0.3,0.1,0.1,1,0.2,0,0.1,0.4,0.3,1,0.4,1.1,*****,95.8,0.1,30.4,(X),31.3,(X),24,(X),68635,2866,70222,3374,7377,2158,17358,644,8816,1219,2886,819,19907,2161,80192,3686,42679,5132,67931,8440,92845,5266,80824,22213,116832,9190,88140,14907,27341,1249,27429,1226,22362,15469,N,N,24576,9485,N,N,N,N,22431,8704,15078,10639,27533,1222,(X),(X),(X),(X),(X),(X)
0500000US42021,"Cambria County, Pennsylvania",59030,1612,70.6,2.1,23.4,1.9,39.4,2.1,6.9,1.3,3.5,1,26.5,2,36714,1657,17.3,2.2,30.6,3.1,33.7,3.2,7.5,2,9.6,1.5,1.4,0.8,143498,*****,94.2,0.3,3.6,0.4,0,0.1,0.7,0.1,0.1,0.1,0.4,0.3,1.1,0.3,1.4,*****,93.3,0.1,23.6,(X),26.1,(X),19.1,(X),50970,2901,52943,3464,7661,2636,15726,544,7394,747,2106,692,13344,1205,62746,4417,34268,3393,50812,7899,80080,7596,62772,8626,90993,7288,66684,13749,21472,1099,22080,1033,7630,3281,N,N,N,N,N,N,N,N,3277,2656,11215,3715,22162,1030,(X),(X),(X),(X),(X),(X)
