"GEO_ID","NAME","S1902_C01_001E","S1902_C01_001M","S1902_C01_002E","S1902_C01_002M","S1902_C01_003E","S1902_C01_003M","S1902_C01_004E","S1902_C01_004M","S1902_C01_005E","S1902_C01_005M","S1902_C01_006E","S1902_C01_006M","S1902_C01_007E","S1902_C01_007M","S1902_C01_008E","S1902_C01_008M","S1902_C01_009E","S1902_C01_009M","S1902_C01_010E","S1902_C01_010M","S1902_C01_011E","S1902_C01_011M","S1902_C01_012E","S1902_C01_012M","S1902_C01_013E","S1902_C01_013M","S1902_C01_014E","S1902_C01_014M","S1902_C01_015E","S1902_C01_015M","S1902_C01_016E","S1902_C01_016M","S1902_C01_017E","S1902_C01_017M","S1902_C01_018E","S1902_C01_018M","S1902_C01_019E","S1902_C01_019M","S1902_C01_020E","S1902_C01_020M","S1902_C01_021E","S1902_C01_021M","S1902_C01_022E","S1902_C01_022M","S1902_C01_023E","S1902_C01_023M","S1902_C01_024E","S1902_C01_024M","S1902_C01_025E","S1902_C01_025M","S1902_C01_026E","S1902_C01_026M","S1902_C01_027E","S1902_C01_027M","S1902_C02_001E","S1902_C02_001M","S1902_C02_002E","S1902_C02_002M","S1902_C02_003E","S1902_C02_003M","S1902_C02_004E","S1902_C02_004M","S1902_C02_005E","S1902_C02_005M","S1902_C02_006E","S1902_C02_006M","S1902_C02_007E","S1902_C02_007M","S1902_C02_008E","S1902_C02_008M","S1902_C02_009E","S1902_C02_009M","S1902_C02_010E","S1902_C02_010M","S1902_C02_011E","S1902_C02_011M","S1902_C02_012E","S1902_C02_012M","S1902_C02_013E","S1902_C02_013M","S1902_C02_014E","S1902_C02_014M","S1902_C02_015E","S1902_C02_015M","S1902_C02_016E","S1902_C02_016M","S1902_C02_017E","S1902_C02_017M","S1902_C02_018E","S1902_C02_018M","S1902_C02_019E","S1902_C02_019M","S1902_C02_020E","S1902_C02_020M","S1902_C02_021E","S1902_C02_021M","S1902_C02_022E","S1902_C02_022M","S1902_C02_023E","S1902_C02_023M","S1902_C02_024E","S1902_C02_024M","S1902_C02_025E","S1902_C02_025M","S1902_C02_026E","S1902_C02_026M","S1902_C02_027E","S1902_C02_027M"
"id","Geographic Area Name","Total!!Estimate!!All households","Total!!Margin of Error!!All households","Total!!Estimate!!With earnings","Total!!Margin of Error!!With earnings","Total!!Estimate!!With interest, dividends, or net rental income","Total!!Margin of Error!!With interest, dividends, or net rental income","Total!!Estimate!!With Social Security income","Total!!Margin of Error!!With Social Security income","Total!!Estimate!!With Supplemental Security Income (SSI)","Total!!Margin of Error!!With Supplemental Security Income (SSI)","Total!!Estimate!!With cash public assistance income","Total!!Margin of Error!!With cash public assistance income","Total!!Estimate!!With retirement income","Total!!Margin of Error!!With retirement income","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!No workers","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!No workers","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!1 worker","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!1 worker","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!2 workers, husband and wife worked","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!2 workers, husband and wife worked","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!2 workers, other","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!2 workers, other","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!3 or more workers, husband and wife worked","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!3 or more workers, husband and wife worked","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!3 or more workers, other","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!3 or more workers, other","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!White","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!White","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Black or African American","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Black or African American","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!American Indian and Alaska Native","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!American Indian and Alaska Native","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Asian","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Asian","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Some other race","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Some other race","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races","Total!!Estimate!!Hispanic or Latino origin (of any race)","Total!!Margin of Error!!Hispanic or Latino origin (of any race)","Total!!Estimate!!White alone, not Hispanic or Latino","Total!!Margin of Error!!White alone, not Hispanic or Latino","Total!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Individual income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Individual income in the past 12 months","Mean income (dollars)!!Estimate!!All households","Mean income (dollars)!!Margin of Error!!All households","Mean income (dollars)!!Estimate!!With earnings","Mean income (dollars)!!Margin of Error!!With earnings","Mean income (dollars)!!Estimate!!With interest, dividends, or net rental income","Mean income (dollars)!!Margin of Error!!With interest, dividends, or net rental income","Mean income (dollars)!!Estimate!!With Social Security income","Mean income (dollars)!!Margin of Error!!With Social Security income","Mean income (dollars)!!Estimate!!With Supplemental Security Income (SSI)","Mean income (dollars)!!Margin of Error!!With Supplemental Security Income (SSI)","Mean income (dollars)!!Estimate!!With cash public assistance income","Mean income (dollars)!!Margin of Error!!With cash public assistance income","Mean income (dollars)!!Estimate!!With retirement income","Mean income (dollars)!!Margin of Error!!With retirement income","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!No workers","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!No workers","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!1 worker","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!1 worker","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!2 workers, husband and wife worked","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!2 workers, husband and wife worked","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!2 workers, other","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!2 workers, other","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!3 or more workers, husband and wife worked","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!3 or more workers, husband and wife worked","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!3 or more workers, other","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!3 or more workers, other","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!White","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!White","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Black or African American","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Black or African American","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!American Indian and Alaska Native","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!American Indian and Alaska Native","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Asian","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Asian","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Native Hawaiian and Other Pacific Islander","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Native Hawaiian and Other Pacific Islander","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Some other race","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Some other race","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races","Mean income (dollars)!!Estimate!!Hispanic or Latino origin (of any race)","Mean income (dollars)!!Margin of Error!!Hispanic or Latino origin (of any race)","Mean income (dollars)!!Estimate!!White alone, not Hispanic or Latino","Mean income (dollars)!!Margin of Error!!White alone, not Hispanic or Latino","Mean income (dollars)!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Mean income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Mean income (dollars)!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Mean income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Mean income (dollars)!!Estimate!!PERCENT IMPUTED!!Individual income in the past 12 months","Mean income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Individual income in the past 12 months"
"0500000US42001","Adams County, Pennsylvania","38006","1080","77.1","2.5","26.6","2.3","34.0","2.1","4.0","1.2","1.6","0.6","22.7","2.4","27058","1372","13.4","2.2","29.0","3.0","36.7","3.1","8.8","2.2","10.7","2.1","1.4","0.8","101434","*****","92.2","0.8","1.7","0.6","0.3","0.5","0.8","0.2","0.0","0.1","3.1","0.7","1.9","0.8","6.2","*****","90.2","0.1","21.2","(X)","21.7","(X)","15.6","(X)","66543","3884","65703","3958","10913","4107","16961","1029","7850","973","986","342","24600","2507","77100","4259","53275","11402","61653","9114","93787","6831","65878","6655","101611","9694","71410","14275","25555","1376","26616","1375","15963","14675","N","N","N","N","N","N","10792","2269","7027","3446","10382","1952","26896","1411","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US42003","Allegheny County, Pennsylvania","518366","4197","74.5","0.7","24.3","0.6","32.4","0.6","5.6","0.5","3.5","0.3","19.2","0.6","301670","4794","15.8","0.8","31.8","1.2","32.5","1.2","8.8","0.9","8.9","0.7","2.1","0.4","1227066","*****","81.3","0.2","13.1","0.2","0.1","0.1","2.9","0.1","0.0","0.1","0.5","0.2","2.0","0.2","1.7","*****","80.2","0.2","25.8","(X)","26.4","(X)","20.8","(X)","67461","1473","72144","1752","10208","1242","16976","256","8923","447","2802","498","19547","1022","85496","2110","39550","2299","71208","4231","113659","3322","76678","5341","122803","5851","90986","7978","29436","628","32128","709","15609","966","20908","7322","32729","4065","N","N","15275","5817","10180","1834","18200","2374","32268","713","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US42005","Armstrong County, Pennsylvania","28320","890","69.4","2.6","24.5","2.7","39.8","2.2","9.0","2.3","2.3","0.8","27.1","2.7","19912","1097","20.9","3.3","34.6","3.9","27.0","3.1","5.5","1.6","10.3","2.5","1.8","0.9","68568","*****","98.2","0.4","0.4","0.3","0.0","0.2","0.1","0.1","0.0","0.2","0.7","0.6","0.7","0.3","N","N","N","N","30.3","(X)","30.4","(X)","23.4","(X)","56861","4502","57544","4357","13878","9437","16636","865","9370","999","N","N","15364","2920","66759","5924","43468","15599","54522","7115","82474","7456","44980","8479","119951","18436","100679","39947","23832","1697","24093","1700","15725","7634","N","N","N","N","N","N","N","N","17572","11848","N","N","N","N","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US42007","Beaver County, Pennsylvania","70059","1375","70.9","1.5","22.4","1.8","39.4","1.6","6.4","1.2","4.0","1.0","25.2","1.8","46213","2088","18.4","1.7","28.9","2.5","33.3","2.9","7.9","1.4","8.5","1.7","2.9","1.2","170414","*****","91.0","0.3","6.2","0.6","0.2","0.2","0.6","0.1","0.0","0.1","0.0","0.1","2.0","0.5","1.3","*****","90.2","0.1","24.9","(X)","26.3","(X)","20.0","(X)","60289","2348","64026","2632","8145","3294","17198","612","9431","897","2758","627","16062","1654","70791","2881","41952","4451","53380","3854","93730","5700","56925","6650","110808","9922","83826","17576","25557","992","26830","1072","14532","3393","N","N","13786","11072","N","N","N","N","6597","2361","10520","3579","26958","1067","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US42011","Berks County, Pennsylvania","155425","1577","76.4","1.3","24.2","1.5","32.2","1.4","6.1","0.9","3.9","0.7","19.9","1.1","105245","2837","15.7","1.2","29.6","2.1","33.2","2.4","7.8","1.3","11.3","1.3","2.3","0.6","412778","*****","83.8","0.9","5.2","0.6","0.2","0.1","1.4","0.1","0.0","0.1","7.1","1.0","2.3","0.4","16.8","*****","76.2","0.1","29.9","(X)","29.5","(X)","22.4","(X)","66641","2439","69097","2986","9077","2600","17520","558","9208","775","2768","563","18603","1846","77191","2811","43525","5550","60832","4786","96403","4971","61921","5374","118622","11236","87043","12563","25711","912","28031","1019","18121","2119","10430","5878","25800","7394","N","N","9872","1480","8697","2675","11175","882","29539","1117","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US42013","Blair County, Pennsylvania","50849","1270","74.2","2.4","18.4","2.1","38.9","1.7","5.1","1.1","3.9","1.3","18.4","1.8","34268","1848","15.0","2.4","32.3","3.7","30.9","3.8","8.6","2.4","10.3","2.5","2.9","1.4","127099","*****","96.3","0.2","1.7","0.4","0.1","0.1","0.7","0.2","0.0","0.1","0.1","0.1","1.1","0.5","1.0","*****","95.3","0.1","27.6","(X)","31.1","(X)","22.6","(X)","53895","2739","54583","3267","8909","1933","17273","772","9825","1272","2531","1215","16442","1622","65278","3447","36765","3289","53421","10546","82650","6414","65470","15948","88227","9471","77986","20954","22462","1013","21760","782","13396","7036","16286","13093","N","N","N","N","N","N","N","N","14641","6186","21824","781","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US42017","Bucks County, Pennsylvania","232208","2411","80.1","1.1","28.1","1.5","31.0","1.0","3.7","0.6","2.3","0.4","19.9","1.3","164397","3365","12.8","1.1","26.3","1.3","35.4","1.5","9.9","1.0","12.4","0.9","3.2","0.7","626854","*****","89.5","0.4","3.8","0.2","0.1","0.1","3.9","0.2","0.0","0.1","1.2","0.4","1.5","0.3","4.4","*****","86.5","0.1","24.6","(X)","25.4","(X)","18.0","(X)","92062","2603","94569","3157","11106","1440","19402","491","10269","931","2992","783","24825","2828","108197","3238","48114","4208","94435","7981","130421","5004","95984","8644","143985","9124","114664","15006","34917","937","35977","1009","20774","2708","12539","7367","37239","5093","N","N","20245","7453","14706","4120","24102","3045","36307","1044","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US42019","Butler County, Pennsylvania","73286","1494","77.9","1.6","28.3","2.2","30.5","1.3","3.3","0.8","2.2","0.8","21.5","1.7","48776","1721","15.7","1.7","28.1","2.8","39.0","2.5","6.1","1.4","9.6","1.9","1.4","0.7","184848","*****","96.5","0.2","1.5","0.3","0.1","0.1","1.2","0.2","0.0","0.1","0.1","0.1","0.6","0.2","1.1","*****","95.6","0.1","25.4","(X)","24.0","(X)","20.3","(X)","75430","4338","78444","5119","9067","3091","17834","741","10418","1541","1997","469","18816","2064","88774","5685","48043","6497","70763","8134","113556","12431","86368","19620","110916","8835","77361","24427","30542","1750","30816","1818","14170","5211","N","N","41949","28455","N","N","N","N","11292","10675","23991","15636","30895","1780","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US42021","Cambria County, Pennsylvania","57348","1721","67.2","2.0","20.5","1.7","41.4","1.7","7.3","1.5","3.6","0.9","29.1","1.6","37713","1857","23.2","2.5","30.4","2.9","29.1","2.4","7.0","1.6","8.8","1.6","1.4","0.6","143728","*****","93.6","0.3","3.6","0.8","0.1","0.1","0.5","0.1","0.0","0.1","0.5","0.4","1.8","0.6","1.5","*****","92.9","0.1","25.4","(X)","26.4","(X)","18.9","(X)","52144","2769","55554","3022","4729","973","16117","562","9603","723","1594","534","16872","4282","62461","3446","32923","2706","54943","8261","81457","5774","69311","10130","98253","7382","60477","9472","21543","1152","22406","1156","9502","3360","N","N","23924","18063","N","N","N","N","4409","2172","14114","11605","22371","1124","(X)","(X)","(X)","(X)","(X)","(X)"
