"GEO_ID","NAME","S1902_C01_001E","S1902_C01_001M","S1902_C01_002E","S1902_C01_002M","S1902_C01_003E","S1902_C01_003M","S1902_C01_004M","S1902_C01_005E","S1902_C01_005M","S1902_C01_006E","S1902_C01_006M","S1902_C01_007E","S1902_C01_007M","S1902_C01_008E","S1902_C01_008M","S1902_C01_009E","S1902_C01_009M","S1902_C01_010E","S1902_C01_010M","S1902_C01_011E","S1902_C01_011M","S1902_C01_012E","S1902_C01_012M","S1902_C01_013E","S1902_C01_013M","S1902_C01_014E","S1902_C01_014M","S1902_C01_015E","S1902_C01_015M","S1902_C01_016E","S1902_C01_016M","S1902_C01_017E","S1902_C01_017M","S1902_C01_018E","S1902_C01_018M","S1902_C01_019E","S1902_C01_019M","S1902_C01_020E","S1902_C01_020M","S1902_C01_021E","S1902_C01_021M","S1902_C01_022E","S1902_C01_022M","S1902_C01_023E","S1902_C01_023M","S1902_C01_024E","S1902_C01_024M","S1902_C01_025E","S1902_C01_025M","S1902_C01_026E","S1902_C01_026M","S1902_C01_027E","S1902_C01_027M","S1902_C02_001E","S1902_C02_001M","S1902_C02_002E","S1902_C02_002M","S1902_C02_003E","S1902_C02_003M","S1902_C02_004E","S1902_C02_004M","S1902_C02_005E","S1902_C02_005M","S1902_C02_006E","S1902_C02_006M","S1902_C02_007E","S1902_C02_007M","S1902_C02_008E","S1902_C02_008M","S1902_C02_009E","S1902_C02_009M","S1902_C02_010E","S1902_C02_010M","S1902_C02_011E","S1902_C01_004E","S1902_C02_011M","S1902_C02_012E","S1902_C02_012M","S1902_C02_013E","S1902_C02_013M","S1902_C02_014E","S1902_C02_014M","S1902_C02_015M","S1902_C02_016E","S1902_C02_016M","S1902_C02_017E","S1902_C02_017M","S1902_C02_018E","S1902_C02_018M","S1902_C02_019E","S1902_C02_019M","S1902_C02_020E","S1902_C02_020M","S1902_C02_021E","S1902_C02_021M","S1902_C02_022E","S1902_C02_022M","S1902_C02_023E","S1902_C02_023M","S1902_C02_024E","S1902_C02_024M","S1902_C02_025E","S1902_C02_025M","S1902_C02_026E","S1902_C02_026M","S1902_C02_027E","S1902_C02_027M","S1902_C02_015E"
"id","Geographic Area Name","Total!!Estimate!!All households","Total!!Margin of Error!!All households","Total!!Estimate!!All households!!With earnings","Total!!Margin of Error!!All households!!With earnings","Total!!Estimate!!All households!!With interest, dividends, or net rental income","Total!!Margin of Error!!All households!!With interest, dividends, or net rental income","Total!!Margin of Error!!All households!!With Social Security income","Total!!Estimate!!All households!!With Supplemental Security Income (SSI)","Total!!Margin of Error!!All households!!With Supplemental Security Income (SSI)","Total!!Estimate!!All households!!With cash public assistance income","Total!!Margin of Error!!All households!!With cash public assistance income","Total!!Estimate!!All households!!With retirement income","Total!!Margin of Error!!All households!!With retirement income","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!No workers","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!No workers","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!1 worker","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!1 worker","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, husband and wife worked","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, husband and wife worked","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, other","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, other","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, husband and wife worked","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, husband and wife worked","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, other","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, other","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!White","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!White","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Black or African American","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Black or African American","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!American Indian and Alaska Native","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!American Indian and Alaska Native","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Asian","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Asian","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Some other race","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Some other race","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!Two or more races","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!Two or more races","Total!!Estimate!!Hispanic or Latino origin (of any race)","Total!!Margin of Error!!Hispanic or Latino origin (of any race)","Total!!Estimate!!White alone, not Hispanic or Latino","Total!!Margin of Error!!White alone, not Hispanic or Latino","Total!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Individual income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Individual income in the past 12 months","Mean income (dollars)!!Estimate!!All households","Mean income (dollars)!!Margin of Error!!All households","Mean income (dollars)!!Estimate!!All households!!With earnings","Mean income (dollars)!!Margin of Error!!All households!!With earnings","Mean income (dollars)!!Estimate!!All households!!With interest, dividends, or net rental income","Mean income (dollars)!!Margin of Error!!All households!!With interest, dividends, or net rental income","Mean income (dollars)!!Estimate!!All households!!With Social Security income","Mean income (dollars)!!Margin of Error!!All households!!With Social Security income","Mean income (dollars)!!Estimate!!All households!!With Supplemental Security Income (SSI)","Mean income (dollars)!!Margin of Error!!All households!!With Supplemental Security Income (SSI)","Mean income (dollars)!!Estimate!!All households!!With cash public assistance income","Mean income (dollars)!!Margin of Error!!All households!!With cash public assistance income","Mean income (dollars)!!Estimate!!All households!!With retirement income","Mean income (dollars)!!Margin of Error!!All households!!With retirement income","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!No workers","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!No workers","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!1 worker","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!1 worker","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, husband and wife worked","Total!!Estimate!!All households!!With Social Security income","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, husband and wife worked","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, other","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, other","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, husband and wife worked","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, husband and wife worked","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, other","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, other","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!White","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!White","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Black or African American","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Black or African American","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!American Indian and Alaska Native","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!American Indian and Alaska Native","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Asian","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Asian","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Native Hawaiian and Other Pacific Islander","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Native Hawaiian and Other Pacific Islander","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Some other race","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Some other race","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!Two or more races","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!Two or more races","Mean income (dollars)!!Estimate!!Hispanic or Latino origin (of any race)","Mean income (dollars)!!Margin of Error!!Hispanic or Latino origin (of any race)","Mean income (dollars)!!Estimate!!White alone, not Hispanic or Latino","Mean income (dollars)!!Margin of Error!!White alone, not Hispanic or Latino","Mean income (dollars)!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Mean income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Mean income (dollars)!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Mean income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Mean income (dollars)!!Estimate!!PERCENT IMPUTED!!Individual income in the past 12 months","Mean income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Individual income in the past 12 months","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population"
"0500000US42001","Adams County, Pennsylvania","37242","1172","79.7","1.9","26.6","2.2","2.2","2.6","1.1","1.5","0.7","23.4","2.7","27446","1288","13.9","1.8","29.5","3.3","33.3","3.6","8.7","2.1","12.2","2.4","2.4","1.0","101546","*****","92.1","1.0","1.6","0.4","0.2","0.1","0.8","0.2","0.0","0.1","3.8","1.1","1.6","0.6","6.5","*****","90.0","0.1","26.2","(X)","26.0","(X)","20.0","(X)","73000","3684","72252","4792","7354","1736","18951","863","7363","1563","2984","885","21718","2168","80160","4683","43864","5713","64890","9035","97896","34.2","8678","56602","10533","125276","12882","86883","8112","1356","28097","1255","37070","24226","N","N","20519","18679","N","N","9380","2798","4722","4751","16338","8745","28253","1292","(X)","(X)","(X)","(X)","(X)","(X)","27356"
"0500000US42003","Allegheny County, Pennsylvania","530213","5036","76.1","0.8","26.0","0.8","0.7","5.6","0.5","2.9","0.3","18.7","0.6","302264","6063","14.5","0.9","31.3","1.2","33.5","1.2","10.0","0.7","8.5","0.6","2.2","0.4","1231527","*****","81.2","0.1","13.0","0.3","0.1","0.1","3.2","0.1","0.0","0.1","0.3","0.1","2.1","0.3","1.8","*****","79.8","0.1","26.7","(X)","27.3","(X)","22.0","(X)","72362","1385","76230","1539","12653","1628","17301","249","9822","535","2404","363","19617","1055","92973","1901","42605","2612","76195","4084","121732","32.8","3442","88429","8005","131952","6830","93200","10867","586","34545","657","17244","813","21438","12954","35523","4260","N","N","14178","6644","12437","2072","26516","6521","34594","638","(X)","(X)","(X)","(X)","(X)","(X)","31777"
"0500000US42005","Armstrong County, Pennsylvania","28289","874","70.0","2.1","23.0","2.3","2.6","6.2","1.8","1.8","0.8","27.2","2.7","18533","1121","17.6","2.5","33.5","3.7","29.6","3.9","9.0","2.7","8.1","1.8","2.2","1.6","68107","*****","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","34.6","(X)","36.4","(X)","25.2","(X)","56471","3286","58490","3997","10437","5365","17240","936","11728","2351","2865","1711","14483","1872","66850","4165","40877","6483","47584","5602","85900","41.9","7392","80118","19638","110760","13626","96298","35054","1298","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","(X)","(X)","(X)","(X)","(X)","(X)","23867"
"0500000US42007","Beaver County, Pennsylvania","70865","1442","71.7","1.9","25.3","2.1","1.7","5.3","1.1","2.1","0.6","25.3","2.1","45519","1963","16.9","1.9","28.8","2.9","34.0","3.4","8.4","1.6","10.1","1.8","1.8","0.7","170115","*****","91.1","0.2","5.6","0.7","0.0","0.1","0.5","0.1","0.0","0.1","0.3","0.2","2.4","0.7","1.4","*****","90.0","0.1","31.2","(X)","31.6","(X)","25.1","(X)","64102","3146","67974","4062","7797","1831","18320","628","8424","1113","1460","445","17411","1946","78597","3918","41671","4944","59668","5489","100877","39.4","6309","68463","9479","115074","11643","149440","69793","1291","28589","1391","18080","3361","N","N","22935","13335","N","N","6789","5476","13303","4590","23767","12632","28650","1340","(X)","(X)","(X)","(X)","(X)","(X)","27538"
"0500000US42011","Berks County, Pennsylvania","153271","1862","77.6","1.2","24.4","1.4","1.2","6.1","0.8","2.8","0.6","20.1","1.2","104387","2898","14.4","1.6","29.4","2.0","34.5","2.0","7.3","1.0","12.3","1.5","2.2","0.6","413521","*****","82.8","0.9","4.4","0.5","0.8","0.5","1.4","0.2","0.1","0.2","6.4","0.8","4.1","0.8","18.1","*****","74.8","0.1","31.0","(X)","29.9","(X)","23.7","(X)","71525","1965","74050","2427","10065","2146","18487","516","9234","795","2670","589","18000","1670","82730","3318","38604","4228","56611","4513","111324","33.5","6851","79570","14486","114630","6643","103813","18023","733","29318","860","20244","3663","11621","4231","44305","26779","N","N","15710","3278","9805","1897","11640","949","31300","910","(X)","(X)","(X)","(X)","(X)","(X)","27288"
"0500000US42013","Blair County, Pennsylvania","51284","1271","71.7","2.5","19.3","2.4","2.1","8.2","1.8","3.5","0.9","21.9","2.1","33220","1639","18.7","2.8","31.7","3.2","31.5","3.0","6.7","2.0","9.2","2.0","2.1","1.1","126314","*****","N","N","N","N","N","N","N","N","N","N","N","N","N","N","1.1","*****","95.2","0.1","34.6","(X)","34.1","(X)","28.5","(X)","56985","2837","59260","3232","8911","3235","18964","858","9329","841","3381","1246","15321","1529","68757","3751","39016","6097","54691","7780","91689","37.7","7342","61056","11174","102175","10220","79469","25444","1125","N","N","N","N","N","N","N","N","N","N","N","N","N","N","32634","17552","24280","1114","(X)","(X)","(X)","(X)","(X)","(X)","23872"
"0500000US42017","Bucks County, Pennsylvania","231765","2009","81.5","1.0","28.0","1.3","1.0","2.6","0.4","1.9","0.5","18.4","1.0","165053","3723","11.4","1.0","30.3","1.6","35.5","1.9","9.0","1.1","11.6","1.0","2.2","0.5","626976","*****","89.0","0.4","3.7","0.2","0.2","0.1","4.1","0.2","0.0","0.1","1.0","0.3","2.0","0.4","4.7","*****","85.5","0.2","30.5","(X)","31.5","(X)","24.1","(X)","98484","2922","100128","3332","15008","2796","19737","547","9876","1257","4244","955","24612","2466","114460","3451","52681","5420","88323","6182","142238","32.8","6224","97086","9038","169680","14028","127224","13758","1077","38674","1185","22809","4532","20982","7281","39309","6249","N","N","18494","9669","23387","13101","23213","3449","39257","1153","(X)","(X)","(X)","(X)","(X)","(X)","37576"
"0500000US42019","Butler County, Pennsylvania","73955","1475","75.7","1.8","31.1","2.6","1.6","3.8","1.0","1.8","0.6","21.8","1.5","50291","1857","15.4","1.8","26.2","2.9","38.3","2.5","8.2","1.6","10.1","1.6","1.8","0.7","185476","*****","96.2","0.3","1.1","0.3","0.2","0.1","1.1","0.1","0.1","0.1","0.1","0.1","1.1","0.4","1.3","*****","95.2","0.2","27.0","(X)","27.5","(X)","23.1","(X)","78923","3863","83267","4668","10631","2177","18915","626","10031","1409","3104","1728","20452","2334","95980","5020","49361","5472","81983","10910","116359","33.8","8994","73736","14345","142503","16198","106461","19367","1564","32107","1571","26433","17771","32886","26828","37668","18515","N","N","N","N","41119","16261","30207","12045","32151","1598","(X)","(X)","(X)","(X)","(X)","(X)","32193"
"0500000US42021","Cambria County, Pennsylvania","57407","1375","68.2","2.7","24.9","2.2","2.0","7.5","1.4","3.9","0.9","26.6","1.7","36182","1719","19.4","2.3","29.7","3.3","31.9","3.0","9.0","2.0","7.5","1.4","2.6","1.3","140499","*****","93.6","0.4","3.6","0.5","0.0","0.1","0.5","0.2","0.0","0.1","0.0","0.1","2.2","0.8","1.6","*****","92.8","0.1","29.6","(X)","28.6","(X)","24.9","(X)","53223","2782","56195","2958","5580","1466","17447","1051","8297","1058","1477","570","15548","1801","63741","2662","35383","2969","51867","4571","82845","42.0","3562","56771","8126","99049","8127","100672","45344","894","23221","907","8420","3717","N","N","22988","10113","N","N","N","N","4088","2003","15410","7986","23187","924","(X)","(X)","(X)","(X)","(X)","(X)","22262"
