"GEO_ID","NAME","S1902_C01_007M","S1902_C01_008E","S1902_C01_008M","S1902_C01_009E","S1902_C01_009M","S1902_C01_010E","S1902_C01_010M","S1902_C01_011E","S1902_C01_011M","S1902_C01_012E","S1902_C01_012M","S1902_C01_013E","S1902_C01_013M","S1902_C01_014E","S1902_C01_014M","S1902_C01_015E","S1902_C01_015M","S1902_C01_016E","S1902_C01_016M","S1902_C01_017E","S1902_C01_017M","S1902_C01_018E","S1902_C01_018M","S1902_C01_019E","S1902_C01_019M","S1902_C01_020E","S1902_C01_020M","S1902_C01_021E","S1902_C01_021M","S1902_C01_022E","S1902_C01_022M","S1902_C01_023E","S1902_C01_023M","S1902_C01_024E","S1902_C01_024M","S1902_C01_025E","S1902_C01_025M","S1902_C01_026E","S1902_C01_026M","S1902_C01_027E","S1902_C01_027M","S1902_C02_001E","S1902_C02_001M","S1902_C02_002E","S1902_C02_002M","S1902_C02_003E","S1902_C02_003M","S1902_C02_004E","S1902_C02_004M","S1902_C02_005E","S1902_C02_005M","S1902_C02_006E","S1902_C02_006M","S1902_C02_007E","S1902_C02_007M","S1902_C02_008E","S1902_C02_008M","S1902_C02_009E","S1902_C02_009M","S1902_C02_010E","S1902_C02_010M","S1902_C02_011E","S1902_C02_011M","S1902_C02_012E","S1902_C02_012M","S1902_C02_013E","S1902_C02_013M","S1902_C02_014E","S1902_C02_014M","S1902_C02_015E","S1902_C02_015M","S1902_C02_016E","S1902_C02_016M","S1902_C02_017E","S1902_C02_017M","S1902_C02_018E","S1902_C02_018M","S1902_C02_019E","S1902_C02_019M","S1902_C02_020E","S1902_C02_020M","S1902_C02_021E","S1902_C02_021M","S1902_C02_022E","S1902_C02_022M","S1902_C02_023E","S1902_C02_023M","S1902_C02_024E","S1902_C02_024M","S1902_C02_025E","S1902_C02_025M","S1902_C02_026E","S1902_C02_026M","S1902_C02_027E","S1902_C02_027M","S1902_C01_001E","S1902_C01_001M","S1902_C01_002E","S1902_C01_002M","S1902_C01_003E","S1902_C01_003M","S1902_C01_004E","S1902_C01_004M","S1902_C01_005E","S1902_C01_005M","S1902_C01_006E","S1902_C01_006M","S1902_C01_007E"
"id","Geographic Area Name","Total!!Margin of Error!!All households!!With retirement income","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!No workers","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!No workers","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!1 worker","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!1 worker","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, husband and wife worked","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, husband and wife worked","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, other","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, other","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, husband and wife worked","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, husband and wife worked","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, other","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, other","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!White","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!White","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Black or African American","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Black or African American","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!American Indian and Alaska Native","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!American Indian and Alaska Native","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Asian","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Asian","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Some other race","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Some other race","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!Two or more races","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!Two or more races","Total!!Estimate!!Hispanic or Latino origin (of any race)","Total!!Margin of Error!!Hispanic or Latino origin (of any race)","Total!!Estimate!!White alone, not Hispanic or Latino","Total!!Margin of Error!!White alone, not Hispanic or Latino","Total!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Individual income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Individual income in the past 12 months","Mean income (dollars)!!Estimate!!All households","Mean income (dollars)!!Margin of Error!!All households","Mean income (dollars)!!Estimate!!All households!!With earnings","Mean income (dollars)!!Margin of Error!!All households!!With earnings","Mean income (dollars)!!Estimate!!All households!!With interest, dividends, or net rental income","Mean income (dollars)!!Margin of Error!!All households!!With interest, dividends, or net rental income","Mean income (dollars)!!Estimate!!All households!!With Social Security income","Mean income (dollars)!!Margin of Error!!All households!!With Social Security income","Mean income (dollars)!!Estimate!!All households!!With Supplemental Security Income (SSI)","Mean income (dollars)!!Margin of Error!!All households!!With Supplemental Security Income (SSI)","Mean income (dollars)!!Estimate!!All households!!With cash public assistance income","Mean income (dollars)!!Margin of Error!!All households!!With cash public assistance income","Mean income (dollars)!!Estimate!!All households!!With retirement income","Mean income (dollars)!!Margin of Error!!All households!!With retirement income","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!No workers","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!No workers","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!1 worker","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!1 worker","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, husband and wife worked","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, husband and wife worked","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, other","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, other","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, husband and wife worked","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, husband and wife worked","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, other","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, other","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!White","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!White","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Black or African American","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Black or African American","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!American Indian and Alaska Native","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!American Indian and Alaska Native","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Asian","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Asian","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Native Hawaiian and Other Pacific Islander","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Native Hawaiian and Other Pacific Islander","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Some other race","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Some other race","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!Two or more races","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!Two or more races","Mean income (dollars)!!Estimate!!Hispanic or Latino origin (of any race)","Mean income (dollars)!!Margin of Error!!Hispanic or Latino origin (of any race)","Mean income (dollars)!!Estimate!!White alone, not Hispanic or Latino","Mean income (dollars)!!Margin of Error!!White alone, not Hispanic or Latino","Mean income (dollars)!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Mean income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Mean income (dollars)!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Mean income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Mean income (dollars)!!Estimate!!PERCENT IMPUTED!!Individual income in the past 12 months","Mean income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Individual income in the past 12 months","Total!!Estimate!!All households","Total!!Margin of Error!!All households","Total!!Estimate!!All households!!With earnings","Total!!Margin of Error!!All households!!With earnings","Total!!Estimate!!All households!!With interest, dividends, or net rental income","Total!!Margin of Error!!All households!!With interest, dividends, or net rental income","Total!!Estimate!!All households!!With Social Security income","Total!!Margin of Error!!All households!!With Social Security income","Total!!Estimate!!All households!!With Supplemental Security Income (SSI)","Total!!Margin of Error!!All households!!With Supplemental Security Income (SSI)","Total!!Estimate!!All households!!With cash public assistance income","Total!!Margin of Error!!All households!!With cash public assistance income","Total!!Estimate!!All households!!With retirement income"
"0500000US42001","Adams County, Pennsylvania","2.3","28266","1405","16.4","2.2","28.5","3.2","34.4","3.0","7.5","1.9","10.6","2.3","2.6","0.9","101714","*****","91.6","0.7","1.7","0.6","0.1","0.1","0.5","0.3","0.0","0.1","4.0","0.8","2.2","0.9","6.6","*****","89.6","0.1","22.9","(X)","24.1","(X)","17.7","(X)","75196","4815","73454","4833","10050","2977","18918","936","9519","1194","1812","550","30396","6026","87571","5805","62230","11186","67556","11467","108494","7636","68025","14916","124725","14422","94502","18755","28862","1746","30223","1749","N","N","N","N","25858","14957","N","N","11301","4787","5360","3628","12397","3065","30480","1792","(X)","(X)","(X)","(X)","(X)","(X)","38748","972","76.6","2.3","27.9","2.4","35.9","1.9","3.8","1.0","1.9","0.8","24.7"
"0500000US42003","Allegheny County, Pennsylvania","0.7","302028","4977","15.0","0.7","31.2","1.2","33.6","1.0","9.6","0.7","8.4","0.7","2.2","0.3","1231255","*****","80.5","0.2","13.0","0.3","0.1","0.1","3.4","0.1","0.0","0.1","0.5","0.2","2.4","0.3","1.9","*****","79.4","0.1","27.3","(X)","27.7","(X)","22.6","(X)","74386","1553","78452","1709","13752","1704","17952","326","9488","502","2345","315","21481","1573","95247","2243","45357","2914","78694","4046","127817","4994","80580","5580","124917","5410","121083","23925","32840","660","35473","798","19285","2153","10673","5725","39025","7164","18540","22032","19074","6495","13670","3450","19168","2158","35676","811","(X)","(X)","(X)","(X)","(X)","(X)","530977","4190","75.5","0.6","24.7","0.7","33.1","0.8","5.6","0.4","3.1","0.3","19.6"
"0500000US42005","Armstrong County, Pennsylvania","2.6","19210","1032","22.5","2.0","29.6","3.4","32.4","2.7","8.1","1.9","6.2","1.5","1.2","0.6","67785","*****","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","34.0","(X)","29.7","(X)","26.6","(X)","57335","2978","60686","3603","8398","4255","17867","808","9999","833","2407","1393","16042","2165","65894","3788","38966","6530","54336","8840","86296","5089","68331","9055","101874","10774","100143","51026","24363","1117","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","(X)","(X)","(X)","(X)","(X)","(X)","28351","762","68.5","1.8","23.1","2.6","42.7","2.3","6.5","1.3","2.9","1.1","27.0"
"0500000US42007","Beaver County, Pennsylvania","1.6","45381","1995","17.6","2.2","34.1","3.3","28.5","2.7","8.3","1.8","9.7","1.8","1.9","0.8","169392","*****","90.6","0.3","6.0","0.7","0.1","0.1","0.6","0.1","0.0","0.1","0.5","0.3","2.2","0.7","1.4","*****","89.8","0.1","29.4","(X)","29.6","(X)","25.2","(X)","65096","3428","68075","3499","12217","5501","18257","669","10295","1103","1680","509","16858","1309","76283","3444","37587","3917","66003","6016","96856","5115","77158","11399","116186","12399","103621","17905","27179","1372","28659","1517","13565","3481","24617","20524","25579","13769","N","N","26044","13930","4342","2155","17933","4106","28763","1535","(X)","(X)","(X)","(X)","(X)","(X)","68555","1684","72.2","2.0","21.6","1.8","40.8","1.9","7.0","1.2","3.5","1.1","24.2"
"0500000US42011","Berks County, Pennsylvania","1.3","108900","2889","16.2","1.4","28.3","2.4","33.4","2.1","9.0","1.1","10.8","1.2","2.3","0.5","413691","*****","81.8","0.9","5.2","0.8","0.8","0.3","1.5","0.1","0.0","0.1","3.1","0.7","7.6","1.1","18.7","*****","74.2","0.1","31.2","(X)","30.9","(X)","24.0","(X)","69160","1729","71196","1889","12891","2734","18901","642","9302","882","2443","495","18611","1739","79734","2353","41075","4037","61890","4820","101841","4722","75431","8562","117754","6059","89016","11232","26153","627","29101","712","14332","2831","14427","4469","18304","4418","N","N","16001","2627","9396","1453","12651","1127","30618","791","(X)","(X)","(X)","(X)","(X)","(X)","152908","2064","76.7","1.3","21.9","1.3","34.7","1.1","6.3","0.9","3.0","0.6","19.4"
"0500000US42013","Blair County, Pennsylvania","2.5","31743","1922","16.1","2.6","34.0","3.6","29.6","3.5","8.4","1.8","9.8","2.4","2.2","1.5","125955","*****","96.0","0.1","1.4","0.6","0.0","0.1","0.7","0.8","0.0","0.1","0.1","0.1","1.8","0.8","N","N","N","N","31.2","(X)","29.5","(X)","25.3","(X)","57033","3702","58609","4694","7286","1720","17791","916","9348","1331","2577","1340","16567","1421","69916","5284","35336","5310","56479","7939","89190","10125","68578","14210","113952","13983","80101","23692","23456","1418","23743","1417","N","N","N","N","N","N","N","N","N","N","8610","5820","N","N","N","N","(X)","(X)","(X)","(X)","(X)","(X)","49678","1101","72.8","2.3","19.4","2.1","41.8","2.2","6.3","1.7","3.6","1.0","23.0"
"0500000US42017","Bucks County, Pennsylvania","1.1","163050","3740","11.7","0.8","29.5","1.4","35.8","1.5","7.7","1.1","12.6","1.1","2.7","0.7","626685","*****","88.9","0.5","4.1","0.2","0.1","0.1","4.4","0.3","0.0","0.1","0.8","0.4","1.7","0.3","4.9","*****","85.0","0.4","32.0","(X)","33.0","(X)","25.3","(X)","103308","3280","103952","3401","20545","7747","20668","515","9487","964","3846","1620","25490","1574","120740","4415","64200","6108","97499","11274","149979","7788","98851","8266","160393","10084","109558","13618","39434","1340","40036","1257","22149","2643","53080","19211","54242","13826","N","N","28866","5860","15851","4841","19902","2347","40965","1315","(X)","(X)","(X)","(X)","(X)","(X)","232629","2436","80.6","1.1","28.8","1.1","33.1","1.0","3.0","0.5","2.4","0.5","20.5"
"0500000US42019","Butler County, Pennsylvania","1.4","51175","1863","16.2","1.8","25.9","2.6","35.7","2.4","9.2","1.6","10.9","1.7","2.2","0.7","185943","*****","96.3","0.1","1.1","0.3","0.0","0.1","1.1","0.2","0.1","0.1","0.1","0.1","1.3","0.3","1.3","*****","95.1","0.1","27.9","(X)","28.4","(X)","23.5","(X)","78481","3189","83080","3648","9871","1933","19734","825","9946","922","2664","1243","21011","2440","95320","4330","45351","4597","74215","8303","120413","6836","90406","13974","135576","11255","124837","38923","32457","1222","32593","1258","24417","15509","N","N","47389","21122","N","N","N","N","11864","6195","17649","7864","32770","1282","(X)","(X)","(X)","(X)","(X)","(X)","76410","1194","75.7","1.5","27.2","2.2","34.1","1.5","4.5","1.0","1.9","0.6","21.6"
"0500000US42021","Cambria County, Pennsylvania","2.2","37530","1531","21.1","2.6","32.1","3.4","29.5","2.7","6.1","1.6","9.8","1.8","1.4","0.7","137732","*****","93.9","0.2","3.4","0.5","0.1","0.1","0.5","0.2","0.0","0.1","0.2","0.1","1.9","0.5","1.5","*****","92.9","0.2","28.0","(X)","26.1","(X)","23.5","(X)","58493","2925","63824","3605","8019","2502","17091","702","9558","915","2209","968","14969","1318","71283","3679","33544","3213","61525","10725","93524","6034","78919","27549","107670","8854","106107","19414","24607","1034","25250","1065","8965","2047","9274","6002","N","N","N","N","9004","4039","8245","4931","9691","5613","25380","1064","(X)","(X)","(X)","(X)","(X)","(X)","57004","1406","67.9","2.2","21.1","1.6","42.8","2.0","7.2","1.2","3.0","0.8","27.6"
