"Notes"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval
	"Adams County, PA"	"42001"	"1999"	"1999"	Suppressed	90363	Suppressed	Suppressed	Suppressed
	"Adams County, PA"	"42001"	"2000"	"2000"	Suppressed	91292	Suppressed	Suppressed	Suppressed
	"Adams County, PA"	"42001"	"2001"	"2001"	Suppressed	92591	Suppressed	Suppressed	Suppressed
	"Adams County, PA"	"42001"	"2002"	"2002"	Suppressed	93934	Suppressed	Suppressed	Suppressed
	"Adams County, PA"	"42001"	"2003"	"2003"	Suppressed	95503	Suppressed	Suppressed	Suppressed
	"Adams County, PA"	"42001"	"2004"	"2004"	Suppressed	97300	Suppressed	Suppressed	Suppressed
	"Adams County, PA"	"42001"	"2005"	"2005"	Suppressed	98606	Suppressed	Suppressed	Suppressed
	"Adams County, PA"	"42001"	"2006"	"2006"	Suppressed	99899	Suppressed	Suppressed	Suppressed
	"Adams County, PA"	"42001"	"2007"	"2007"	Suppressed	100502	Suppressed	Suppressed	Suppressed
	"Adams County, PA"	"42001"	"2008"	"2008"	Suppressed	101056	Suppressed	Suppressed	Suppressed
	"Adams County, PA"	"42001"	"2009"	"2009"	Suppressed	101252	Suppressed	Suppressed	Suppressed
	"Adams County, PA"	"42001"	"2010"	"2010"	Suppressed	101407	Suppressed	Suppressed	Suppressed
	"Adams County, PA"	"42001"	"2011"	"2011"	Suppressed	101434	Suppressed	Suppressed	Suppressed
	"Adams County, PA"	"42001"	"2012"	"2012"	Suppressed	101482	Suppressed	Suppressed	Suppressed
	"Adams County, PA"	"42001"	"2013"	"2013"	Suppressed	101546	Suppressed	Suppressed	Suppressed
	"Adams County, PA"	"42001"	"2014"	"2014"	Suppressed	101714	Suppressed	Suppressed	Suppressed
	"Adams County, PA"	"42001"	"2015"	"2015"	Suppressed	102295	Suppressed	Suppressed	Suppressed
	"Adams County, PA"	"42001"	"2016"	"2016"	15	102180	Unreliable	8.2	24.2
	"Adams County, PA"	"42001"	"2017"	"2017"	Suppressed	102336	Suppressed	Suppressed	Suppressed
	"Adams County, PA"	"42001"	"2018"	"2018"	11	102811	Unreliable	5.3	19.1
	"Allegheny County, PA"	"42003"	"1999"	"1999"	94	1287247	7.3	5.9	8.9
	"Allegheny County, PA"	"42003"	"2000"	"2000"	98	1281666	7.6	6.2	9.3
	"Allegheny County, PA"	"42003"	"2001"	"2001"	89	1272416	7.0	5.6	8.6
	"Allegheny County, PA"	"42003"	"2002"	"2002"	116	1265577	9.2	7.5	10.8
	"Allegheny County, PA"	"42003"	"2003"	"2003"	159	1258420	12.6	10.7	14.6
	"Allegheny County, PA"	"42003"	"2004"	"2004"	146	1247531	11.7	9.8	13.6
	"Allegheny County, PA"	"42003"	"2005"	"2005"	168	1234787	13.6	11.5	15.7
	"Allegheny County, PA"	"42003"	"2006"	"2006"	93	1226025	7.6	6.1	9.3
	"Allegheny County, PA"	"42003"	"2007"	"2007"	166	1222482	13.6	11.5	15.6
	"Allegheny County, PA"	"42003"	"2008"	"2008"	171	1221071	14.0	11.9	16.1
	"Allegheny County, PA"	"42003"	"2009"	"2009"	167	1222171	13.7	11.6	15.7
	"Allegheny County, PA"	"42003"	"2010"	"2010"	163	1223348	13.3	11.3	15.4
	"Allegheny County, PA"	"42003"	"2011"	"2011"	200	1227066	16.3	14.0	18.6
	"Allegheny County, PA"	"42003"	"2012"	"2012"	229	1229338	18.6	16.2	21.0
	"Allegheny County, PA"	"42003"	"2013"	"2013"	218	1231527	17.7	15.4	20.1
	"Allegheny County, PA"	"42003"	"2014"	"2014"	242	1231255	19.7	17.2	22.1
	"Allegheny County, PA"	"42003"	"2015"	"2015"	362	1230459	29.4	26.4	32.5
	"Allegheny County, PA"	"42003"	"2016"	"2016"	563	1225365	45.9	42.2	49.7
	"Allegheny County, PA"	"42003"	"2017"	"2017"	674	1223048	55.1	50.9	59.3
	"Allegheny County, PA"	"42003"	"2018"	"2018"	393	1218452	32.3	29.1	35.4
	"Armstrong County, PA"	"42005"	"1999"	"1999"	Suppressed	72572	Suppressed	Suppressed	Suppressed
	"Armstrong County, PA"	"42005"	"2000"	"2000"	Suppressed	72392	Suppressed	Suppressed	Suppressed
	"Armstrong County, PA"	"42005"	"2001"	"2001"	Suppressed	71956	Suppressed	Suppressed	Suppressed
	"Armstrong County, PA"	"42005"	"2002"	"2002"	Suppressed	71747	Suppressed	Suppressed	Suppressed
	"Armstrong County, PA"	"42005"	"2003"	"2003"	Suppressed	71645	Suppressed	Suppressed	Suppressed
	"Armstrong County, PA"	"42005"	"2004"	"2004"	Suppressed	71404	Suppressed	Suppressed	Suppressed
	"Armstrong County, PA"	"42005"	"2005"	"2005"	Suppressed	70602	Suppressed	Suppressed	Suppressed
	"Armstrong County, PA"	"42005"	"2006"	"2006"	Suppressed	70030	Suppressed	Suppressed	Suppressed
