County Code,County FIPS Code,State FIPS Code,County Name,County Latitude Point,County Longitude Point,Latitude/Longitude Point,Cumulative Doses Provided,Cumulative Doses Used,Cumulative Individuals Administered,Cumulative Overdose Reversals,Cumulative Doses Left Behind,Provided Doses EMS,Provided Doses Fire Department,Provided Doses Law Enforcement,Provided Doses Other Eligible First Responders,Reversals EMS,Reversals Fire Department,Reversals Law Enfocement,Reversals Other Eligible First Responders,Reporting Period Begin,Reporting Period,Georeferenced Latitude/Longitude Column
01,001,42,Adams,39.8715,-77.2179,"(39.8715, -77.2179)",256,12,8,8,2,80,0,106,70,5,0,3,0,11/15/2017,09/30/2018,"(39.8715, -77.2179)"
06,011,42,Berks,40.4163,-75.9261,"(40.4163, -75.9261)",1222,22,17,14,0,106,360,330,426,0,2,12,0,11/15/2017,09/30/2018,"(40.4163, -75.9261)"
11,021,42,Cambria,40.4951,-78.7135,"(40.4951, -78.7135)",432,5,5,4,0,98,56,208,70,4,0,0,0,11/15/2017,09/30/2018,"(40.4951, -78.7135)"
56,113,42,Sullivan,41.4463,-76.5122,"(41.4463, -76.5122)",54,8,7,6,1,38,4,12,0,6,0,0,0,11/15/2017,09/30/2018,"(41.4463, -76.5122)"
43,085,42,Mercer,41.3023,-80.258,"(41.3023, -80.2580)",276,47,34,31,0,0,24,116,136,0,0,31,0,11/15/2017,09/30/2018,"(41.3023, -80.258)"
25,049,42,Erie,41.9914,-80.0322,"(41.9914, -80.0322)",444,3,2,2,6,384,48,0,12,1,1,0,0,11/15/2017,09/30/2018,"(41.9914, -80.0322)"
38,075,42,Lebanon,40.3675,-76.4581,"(40.3675, -76.4581)",182,14,14,14,0,14,36,50,82,1,0,7,6,11/15/2017,09/30/2018,"(40.3675, -76.4581)"
26,051,42,Fayette,39.9199,-79.6473,"(39.9199, -79.6473)",1076,11,9,9,162,672,238,120,46,0,0,9,0,11/15/2017,09/30/2018,"(39.9199, -79.6473)"
52,105,42,Potter,41.7448,-77.896,"(41.7448, -77.8960)",70,3,2,2,0,24,0,18,28,2,0,0,0,11/15/2017,09/30/2018,"(41.7448, -77.896)"
15,029,42,Chester,39.9733,-75.7484,"(39.9733, -75.7484)",484,61,43,40,0,16,250,218,0,2,0,38,0,11/15/2017,09/30/2018,"(39.9733, -75.7484)"
21,041,42,Cumberland,40.1637,-77.2653,"(40.1637, -77.2653)",812,173,124,100,0,164,18,612,18,50,1,49,0,11/15/2017,09/30/2018,"(40.1637, -77.2653)"
47,093,42,Montour,41.028,-76.6586,"(41.0280, -76.6586)",102,3,3,3,0,0,2,56,44,0,0,2,1,11/15/2017,09/30/2018,"(41.028, -76.6586)"
57,115,42,Susquehanna,41.8214,-75.8006,"(41.8214, -75.8006)",204,1,1,1,0,18,10,92,84,1,0,0,0,11/15/2017,09/30/2018,"(41.8214, -75.8006)"
30,059,42,Greene,39.8539,-80.2229,"(39.8539, -80.2229)",12,0,0,0,0,0,0,12,0,0,0,0,0,11/15/2017,09/30/2018,"(39.8539, -80.2229)"
61,123,42,Warren,41.8146,-79.2741,"(41.8146, -79.2741)",10,0,0,0,0,0,6,0,4,0,0,0,0,11/15/2017,09/30/2018,"(41.8146, -79.2741)"
02,003,42,Allegheny,40.4688,-79.9811,"(40.4688, -79.9811)",8108,327,268,293,56,1000,76,2104,4928,182,0,22,89,11/15/2017,09/30/2018,"(40.4688, -79.9811)"
07,013,42,Blair,40.4811,-78.3484,"(40.4811, -78.3484)",188,14,11,10,0,112,0,68,8,0,0,10,0,11/15/2017,09/30/2018,"(40.4811, -78.3484)"
60,121,42,Venango,41.4009,-79.7581,"(41.4009, -79.7581)",66,0,0,0,0,0,16,0,50,0,0,0,0,11/15/2017,09/30/2018,"(41.4009, -79.7581)"
29,057,42,Fulton,39.9254,-78.1125,"(39.9254, -78.1125)",114,0,0,0,0,16,0,10,88,0,0,0,0,11/15/2017,09/30/2018,"(39.9254, -78.1125)"
39,077,42,Lehigh,40.6127,-75.5923,"(40.6127, -75.5923)",552,177,110,102,0,12,56,394,90,0,1,100,1,11/15/2017,09/30/2018,"(40.6127, -75.5923)"
22,043,42,Dauphin,40.4153,-76.7788,"(40.4153, -76.7788)",176,49,33,32,0,18,48,50,60,0,0,32,0,11/15/2017,09/30/2018,"(40.4153, -76.7788)"
34,067,42,Juniata,40.5311,-77.4022,"(40.5311, -77.4022)",32,0,0,0,0,0,0,12,20,0,0,0,0,11/15/2017,09/30/2018,"(40.5311, -77.4022)"
65,131,42,Wyoming,41.5183,-76.0164,"(41.5183, -76.0164)",92,5,0,0,0,0,0,92,0,0,0,0,0,11/15/2017,09/30/2018,"(41.5183, -76.0164)"
10,019,42,Butler,40.9117,-79.9129,"(40.9117, -79.9129)",334,2,23,23,1,40,8,88,198,2,1,20,0,11/15/2017,09/30/2018,"(40.9117, -79.9129)"
53,107,42,Schuylkill,40.7059,-76.2155,"(40.7059, -76.2155)",430,81,53,52,0,272,20,94,44,41,1,10,0,11/15/2017,09/30/2018,"(40.7059, -76.2155)"
14,027,42,Centre,40.9196,-77.8199,"(40.9196, -77.8199)",306,23,16,14,1,60,34,188,24,0,0,14,0,11/15/2017,09/30/2018,"(40.9196, -77.8199)"
42,083,42,McKean,41.8078,-78.5691,"(41.8078, -78.5691)",46,0,0,0,0,0,12,0,34,0,0,0,0,11/15/2017,09/30/2018,"(41.8078, -78.5691)"
03,005,42,Armstrong,40.8131,-79.4649,"(40.8131, -79.4649)",210,0,0,0,0,0,64,60,86,0,0,0,0,11/15/2017,09/30/2018,"(40.8131, -79.4649)"
33,065,42,Jefferson,41.1278,-78.9996,"(41.1278, -78.9996)",54,4,4,4,0,0,24,24,6,0,0,4,0,11/15/2017,09/30/2018,"(41.1278, -78.9996)"
35,069,42,Lackawanna,41.4367,-75.6091,"(41.4367, -75.6091)",1002,154,143,135,0,420,86,292,204,3,7,122,3,11/15/2017,09/30/2018,"(41.4367, -75.6091)"
46,091,42,Montgomery,40.2108,-75.3673,"(40.2108, -75.3673)",2034,268,196,165,0,396,26,1070,542,2,0,162,1,11/15/2017,09/30/2018,"(40.2108, -75.3673)"
64,129,42,Westmoreland,40.3108,-79.4668,"(40.3108, -79.4668)",1484,124,92,92,5,342,32,760,350,0,0,90,2,11/15/2017,09/30/2018,"(40.3108, -79.4668)"
18,035,42,Clinton,41.234,-77.6371,"(41.2340, -77.6371)",62,4,3,2,0,20,6,32,4,0,0,2,0,11/15/2017,09/30/2018,"(41.234, -77.6371)"
23,045,42,Delaware,39.9166,-75.3987,"(39.9166, -75.3987)",646,480,306,315,0,0,0,566,80,0,0,315,0,11/15/2017,09/30/2018,"(39.9166, -75.3987)"
45,089,42,Monroe,41.058,-75.3397,"(41.0580, -75.3397)",180,7,6,6,0,76,20,40,44,3,0,0,3,11/15/2017,09/30/2018,"(41.058, -75.3397)"
59,119,42,Union,40.963,-77.0621,"(40.9630, -77.0621)",168,0,0,0,0,0,4,70,94,0,0,0,0,11/15/2017,09/30/2018,"(40.963, -77.0621)"
28,055,42,Franklin,39.9274,-77.7212,"(39.9274, -77.7212)",472,7,6,6,0,0,0,314,158,0,0,1,5,11/15/2017,09/30/2018,"(39.9274, -77.7212)"
13,025,42,Carbon,40.9184,-75.7088,"(40.9184, -75.7088)",324,31,23,19,0,24,8,292,0,2,0,17,0,11/15/2017,09/30/2018,"(40.9184, -75.7088)"
54,109,42,Snyder,40.7698,-77.0702,"(40.7698, -77.0702)",68,0,0,0,0,0,0,44,24,0,0,0,0,11/15/2017,09/30/2018,"(40.7698, -77.0702)"
50,099,42,Perry,40.3988,-77.2613,"(40.3988, -77.2613)",30,0,0,0,0,0,0,30,0,0,0,0,0,11/15/2017,09/30/2018,"(40.3988, -77.2613)"
