"GEO_ID","NAME","B01003_001E","B01003_001M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total"
"0500000US42001","Adams County, Pennsylvania","101434","*****"
"0500000US42003","Allegheny County, Pennsylvania","1227066","*****"
"0500000US42005","Armstrong County, Pennsylvania","68568","*****"
"0500000US42007","Beaver County, Pennsylvania","170414","*****"
"0500000US42011","Berks County, Pennsylvania","412778","*****"
"0500000US42013","Blair County, Pennsylvania","127099","*****"
"0500000US42017","Bucks County, Pennsylvania","626854","*****"
"0500000US42019","Butler County, Pennsylvania","184848","*****"
"0500000US42021","Cambria County, Pennsylvania","143728","*****"
"0500000US42025","Carbon County, Pennsylvania","65154","*****"
"0500000US42027","Centre County, Pennsylvania","154722","*****"
"0500000US42029","Chester County, Pennsylvania","503897","*****"
"0500000US42033","Clearfield County, Pennsylvania","81445","*****"
"0500000US42037","Columbia County, Pennsylvania","67476","*****"
"0500000US42039","Crawford County, Pennsylvania","88740","*****"
"0500000US42041","Cumberland County, Pennsylvania","237892","*****"
"0500000US42043","Dauphin County, Pennsylvania","268977","*****"
"0500000US42045","Delaware County, Pennsylvania","559494","*****"
"0500000US42049","Erie County, Pennsylvania","280985","*****"
"0500000US42051","Fayette County, Pennsylvania","136097","*****"
"0500000US42055","Franklin County, Pennsylvania","150811","*****"
"0500000US42063","Indiana County, Pennsylvania","89298","*****"
"0500000US42069","Lackawanna County, Pennsylvania","214166","*****"
"0500000US42071","Lancaster County, Pennsylvania","523594","*****"
"0500000US42073","Lawrence County, Pennsylvania","90535","*****"
"0500000US42075","Lebanon County, Pennsylvania","134311","*****"
"0500000US42079","Luzerne County, Pennsylvania","320651","*****"
"0500000US42081","Lycoming County, Pennsylvania","116747","*****"
"0500000US42085","Mercer County, Pennsylvania","116205","*****"
"0500000US42089","Monroe County, Pennsylvania","169882","*****"
"0500000US42091","Montgomery County, Pennsylvania","804210","*****"
"0500000US42095","Northampton County, Pennsylvania","298476","*****"
"0500000US42097","Northumberland County, Pennsylvania","94558","*****"
"0500000US42101","Philadelphia County, Pennsylvania","1536471","*****"
"0500000US42107","Schuylkill County, Pennsylvania","147513","*****"
"0500000US42111","Somerset County, Pennsylvania","77405","*****"
"0500000US42125","Washington County, Pennsylvania","208282","*****"
"0500000US42129","Westmoreland County, Pennsylvania","364471","*****"
"0500000US42133","York County, Pennsylvania","436770","*****"
